title	year	discipline_names	url
Book Review : The Lutheran Confessions: A Digital Anthology	2013	['History']	www.jstor.org/stable/10.2307/24245349
Review Article: Indispensable Digital Sources	2007	['History']	www.jstor.org/stable/10.2307/20478248
The Digital and the Human	2009	['History']	www.jstor.org/stable/10.2307/40541154
The Lone Digital Scholar	2009	['History']	www.jstor.org/stable/10.2307/40541139
The Royal College of Physicians Digital Archive	2019	['History']	www.jstor.org/stable/10.2307/27038731
The 19th-Century Concord Digital Archive	2010	['Language & Literature']	www.jstor.org/stable/10.2307/23402839
3D modeling by digital photogrammetry applied to the Palaeolithic mammoth bone dwelling settlement of Gontsy (Ukraine)	2016	['Archaeology']	www.jstor.org/stable/10.2307/jj.15135959.12
Using digital photogrammetry to produce 3D models at prehistoric ditched enclosures	2016	['Archaeology']	www.jstor.org/stable/10.2307/jj.15135959.11
Transnational Holocaust Memory, Digital Culture and the End of Reception Studies	2017	['History']	www.jstor.org/stable/10.1163/j.ctt1w8h377.18
The Head of the Hunter: Herta Müller and Surveillance in the Digital Age	2016	['Language & Literature']	www.jstor.org/stable/10.2307/26447110
The Most Dangerous Hobby in the World: FILM COLLECTING IN THE DIGITAL AGE	2009	['Language & Literature']	www.jstor.org/stable/10.2307/26446542
Book Review : Friending the Past: The Sense of History in the Digital Age	2019	['Language & Literature']	www.jstor.org/stable/10.2307/48770296
Book Review :          Digital Library of Appalachia         The Appalachian College Association	2012	['Music']	www.jstor.org/stable/10.2307/24318135
Book Review :          The South African Music Archive Project (SAMAP)         Digital Innovation South Africa	2012	['Music']	www.jstor.org/stable/10.2307/24318139
Book Review : Digital Signatures: The Impact of Digitization on Popular Music Sound	2018	['Music']	www.jstor.org/stable/10.2307/26562983
Book Review : Drop on Down in Florida: Field Recordings of African American Traditional Music 1977–1980. Various performers. Atlanta: Dust-to-Digital DTD-24 (2012). Set of two CDs with 224-page book	2014	['Music']	www.jstor.org/stable/10.2307/24318244
"""How Do I Rent a Negro?"": Racialized Subjectivity and Digital Performance Art"	2005	['Performing Arts']	www.jstor.org/stable/10.2307/25069737
Approaching an Analog–Digital Dialectic: The Case of the Blue Man Group	2009	['Performing Arts']	www.jstor.org/stable/10.2307/40660552
Book Review :              Monsters of Grace 1.0: A Digital Opera in Three Dimensions                            Philip               Glass                                         Robert               Wilson	1998	['Performing Arts']	www.jstor.org/stable/10.2307/25068593
Book Review :          DIGITAL: A LOVE STORY; BULLY; GRAND THEFT AUTO IV; PORTAL; DYS4IA                    Christine           Love	2012	['Performing Arts']	www.jstor.org/stable/10.2307/41819896
Book Review : VIRAL PERFORMANCE: CONTAGIOUS THEATERS FROM MODERNISM TO THE DIGITAL AGE	2019	['Performing Arts']	www.jstor.org/stable/10.2307/48560986
Digital Historiography and Performance	2016	['Performing Arts']	www.jstor.org/stable/10.2307/26367448
Editorial Comment: Digital Media and Performance	2009	['Performing Arts']	www.jstor.org/stable/10.2307/40660549
Editorial Comment: Theatre, the Digital, and the Analysis and Documentation of Performance	2016	['Performing Arts']	www.jstor.org/stable/10.2307/26367447
Mapping Movement on the Move: Dance Touring and Digital Methods	2016	['Performing Arts']	www.jstor.org/stable/10.2307/26367451
Notes from the Frontier: Digital Scholarship and the Future of Theatre Studies	2015	['Performing Arts']	www.jstor.org/stable/10.2307/24582613
Postdigital Performance	2016	['Performing Arts']	www.jstor.org/stable/10.2307/26367339
CORPUS DIGITALIS	2016	['Music']	www.jstor.org/stable/10.2307/jj.2353905.6
DUBSTEPS TO A DIGITAL ECOLOGY OF MIND, BODY, AND SPIRIT	2016	['Music']	www.jstor.org/stable/10.2307/jj.2353905.8
Book Review :          Ethiek van de digitale media                    Marcel           Becker	2017	['Philosophy']	www.jstor.org/stable/10.2307/26494106
Notes on the Future of Digital Literary Studies	2015	['Language & Literature']	www.jstor.org/stable/10.2307/j.ctv65swvf.9
Traces of the Old, Uses of the New: The Emergence of Digital Literary Studies	2015	['Language & Literature']	www.jstor.org/stable/10.2307/j.ctv65swvf
"3. Finishing the ""TLL"" in the Digital Age: Opportunities, Challenges, Risks"	2007	['Classical Studies']	www.jstor.org/stable/10.2307/4543325
Intertextuality in the Digital Age	2012	['Classical Studies']	www.jstor.org/stable/10.2307/23324457
Digital	2022	['Language & Literature']	www.jstor.org/stable/10.2307/j.ctv2fjwpw7.13
Book Review :          Technoromanticism: Digital Narrative, Holism, and the Romance of the Real                    Richard           Coyne	2002	['Philosophy']	www.jstor.org/stable/10.2307/20718427
Digital Approaches to the Archive	2018	['Language & Literature']	www.jstor.org/stable/10.2307/26476376
Book Review :          Handbuch der illustrierten Vergil-Ausgaben 1502-1840. Geschichte, Typologie, Zyklen und kommentierter Katalog der Holzschnitte und Kupferstiche zur Aeneis in Alten Drucken. Mit besonderer Berücksichtigung der Bestände der Bayerischen Staatsbibliothek München und ihrer Digitalisate von Bildern zu Werken des P. Vergilius Maro, sowie mit Beilage von 2 DVDs. Bibliographien zur Klassischen Philologie, 3                    WERNER           SUERBAUM	2008	['Classical Studies', 'Language & Literature']	www.jstor.org/stable/10.2307/41587386
